data_dte,Year,Month,usg_apt_id,usg_apt,Total,Passengers
01/01/1990,1990,1,11433,DTW,2708,31933
01/01/1990,1990,1,11433,DTW,520,
01/01/1990,1990,1,11433,DTW,417,
01/01/1990,1990,1,11433,DTW,1410,
01/01/1990,1990,1,11433,DTW,2497,
01/01/1990,1990,1,11433,DTW,2105,
01/01/1990,1990,1,11433,DTW,1006,
01/01/1990,1990,1,11433,DTW,1068,
01/01/1990,1990,1,11433,DTW,507,
01/01/1990,1990,1,11433,DTW,2236,
01/01/1990,1990,1,11433,DTW,811,
01/01/1990,1990,1,11433,DTW,80,
01/01/1990,1990,1,11433,DTW,153,
01/01/1990,1990,1,11433,DTW,931,
01/01/1990,1990,1,11433,DTW,3073,
01/01/1990,1990,1,11433,DTW,3420,
01/01/1990,1990,1,11433,DTW,4464,
01/01/1990,1990,1,11433,DTW,4527,
02/01/1990,1990,2,11433,DTW,2163,
02/01/1990,1990,2,11433,DTW,100,
02/01/1990,1990,2,11433,DTW,278,
02/01/1990,1990,2,11433,DTW,636,
02/01/1990,1990,2,11433,DTW,2861,
02/01/1990,1990,2,11433,DTW,2567,
02/01/1990,1990,2,11433,DTW,1437,
02/01/1990,1990,2,11433,DTW,958,
02/01/1990,1990,2,11433,DTW,1973,
02/01/1990,1990,2,11433,DTW,2595,
02/01/1990,1990,2,11433,DTW,1829,
02/01/1990,1990,2,11433,DTW,611,
02/01/1990,1990,2,11433,DTW,181,
02/01/1990,1990,2,11433,DTW,293,
02/01/1990,1990,2,11433,DTW,373,
02/01/1990,1990,2,11433,DTW,1764,
02/01/1990,1990,2,11433,DTW,2679,
02/01/1990,1990,2,11433,DTW,3343,
02/01/1990,1990,2,11433,DTW,3636,
02/01/1990,1990,2,11433,DTW,3768,
02/01/1990,1990,2,11433,DTW,4171,
03/01/1990,1990,3,11433,DTW,2706,
03/01/1990,1990,3,11433,DTW,5187,
03/01/1990,1990,3,11433,DTW,1543,
03/01/1990,1990,3,11433,DTW,1676,
03/01/1990,1990,3,11433,DTW,181,
03/01/1990,1990,3,11433,DTW,566,
03/01/1990,1990,3,11433,DTW,2231,
03/01/1990,1990,3,11433,DTW,474,
03/01/1990,1990,3,11433,DTW,617,
03/01/1990,1990,3,11433,DTW,491,
03/01/1990,1990,3,11433,DTW,2731,
03/01/1990,1990,3,11433,DTW,452,
03/01/1990,1990,3,11433,DTW,3236,
03/01/1990,1990,3,11433,DTW,631,
03/01/1990,1990,3,11433,DTW,222,
03/01/1990,1990,3,11433,DTW,1007,
03/01/1990,1990,3,11433,DTW,123,
03/01/1990,1990,3,11433,DTW,163,
03/01/1990,1990,3,11433,DTW,276,
03/01/1990,1990,3,11433,DTW,319,
03/01/1990,1990,3,11433,DTW,931,
03/01/1990,1990,3,11433,DTW,1541,
03/01/1990,1990,3,11433,DTW,2937,
